iter	Passed	Remaining
709	55797	22790
710	55873	22710
711	55943	22628
712	56021	22550
713	56102	22472
714	56178	22393
715	56249	22311
716	56336	22236
717	56420	22159
718	56502	22082
719	56579	22003
720	56658	21924
721	56734	21845
722	56819	21769
723	56892	21688
724	56963	21606
725	57034	21525
726	57107	21444
727	57179	21363
728	57256	21284
729	57337	21206
730	57407	21125
731	57481	21045
732	57560	20966
733	57630	20885
734	57698	20802
735	57775	20723
736	57853	20645
737	57936	20568
738	58013	20489
739	58093	20411
740	58174	20333
741	58248	20253
742	58323	20173
743	58411	20098
744	58476	20015
745	58552	19936
746	58629	19857
747	58701	19776
748	58776	19696
749	58853	19617
750	58921	19536
751	59008	19460
752	59089	19382
753	59172	19305
754	59246	19225
755	59331	19149
756	59419	19073
757	59511	18999
758	59587	18920
759	59674	18844
760	59754	18766
761	59837	18689
762	59911	18609
763	59993	18532
764	60077	18455
765	60158	18377
766	60235	18298
767	60326	18223
768	60404	18144
769	60481	18065
770	60561	17987
771	60640	17909
772	60722	17831
773	60823	17759
774	60904	17681
775	60974	17600
776	61053	17522
777	61130	17443
778	61206	17364
779	61280	17284
780	61359	17205
781	61431	17125
782	61503	17044
783	61581	16966
784	61657	16886
785	61735	16808
786	61806	16727
787	61881	16648
788	61952	16567
789	62030	16489
790	62108	16410
791	62174	16328
792	62249	16249
793	62321	16169
794	62402	16091
795	62472	16010
796	62551	15932
797	62627	15853
798	62701	15773
799	62775	15693
800	62852	15614
801	62927	15535
802	63002	15456
803	63078	15377
804	63163	15300
805	63235	15220
806	63316	15142
807	63404	15066
808	63488	14989
809	63557	14908
810	63632	14829
811	63696	14747
812	63761	14665
813	63842	14588
814	63914	14508
815	63983	14427
816	64064	14349
817	64146	14272
818	64222	14193
819	64297	14114
820	64366	14033
821	64447	13955
822	64526	13877
823	64612	13800
824	64690	13722
825	64764	13642
826	64838	13563
827	64921	13486
828	65001	13408
829	65087	13331
830	65177	13255
831	65254	13176
832	65329	13097
833	65411	13019
834	65483	12939
835	65559	12860
836	65631	12781
837	65712	12703
838	65782	12623
